4,20
96200008564,317842,93,3,272
810048010240,519818,42,23,212
653569437987,390942,90,13,493
827505121234,534358,82,16,740
S653569437987,390942,25
S810048010240,519818,16
R810048010240,827505121234,3392
S827505121234,534358,25
S96200008564,317842,25
S653569437987,390942,10
S653569437987,390942,3
R653569437987,827505121234,40626
S96200008564,317842,9
S96200008564,317842,17
R96200008564,96200008564,13872
S653569437987,390942,7
S653569437987,390942,13
S653569437987,390942,8
S96200008564,317842,1
S810048010240,519818,7
S96200008564,317842,9
R810048010240,827505121234,23376
S810048010240,519818,1
S653569437987,390942,12
653569437987,810048010240,
