20,100
737052202860,459995,88,16,835
615199100303,371342,4,21,636
305363112019,337256,64,3,178
841380059673,544277,84,24,851
852263901057,554918,70,25,718
41000006029,119868,60,8,188
811973013276,523129,33,10,642
805103000076,517767,47,23,654
31700044605,85974,37,8,732
74027081052,234464,85,17,552
74806184707,243496,40,8,858
41250112532,127495,87,21,657
834532004737,538291,86,8,350
789000000004,505856,59,8,306
645053090228,386298,16,6,197
88161250458,300896,19,1,256
18200149818,30857,41,12,487
735037560110,457307,5,22,307
15205720103,21769,46,13,108
890536002377,581870,58,9,605
S852263901057,554918,17
S841380059673,544277,4
S852263901057,554918,11
S645053090228,386298,7
S805103000076,517767,12
S74027081052,234464,25
S735037560110,457307,3
S18200149818,30857,19
S645053090228,386298,3
S41000006029,119868,6
S737052202860,459995,25
S735037560110,457307,2
S74806184707,243496,6
S305363112019,337256,20
S88161250458,300896,4
S789000000004,505856,3
S805103000076,517767,12
S852263901057,554918,5
S15205720103,21769,22
S74027081052,234464,23
S615199100303,371342,3
S74027081052,234464,11
S805103000076,517767,2
S852263901057,554918,5
S645053090228,386298,2
S88161250458,300896,1
S645053090228,386298,1
S834532004737,538291,25
S811973013276,523129,11
S890536002377,581870,5
S15205720103,21769,6
S305363112019,337256,23
S852263901057,554918,16
S41000006029,119868,25
S852263901057,554918,5
S789000000004,505856,10
S305363112019,337256,11
S789000000004,505856,23
S15205720103,21769,7
S834532004737,538291,9
S18200149818,30857,7
R18200149818,805103000076,121997
S41250112532,127495,5
S88161250458,300896,4
S31700044605,85974,10
S41000006029,119868,8
S789000000004,505856,9
S74806184707,243496,9
S41250112532,127495,19
S88161250458,300896,5
S890536002377,581870,17
S805103000076,517767,7
S41250112532,127495,11
S18200149818,30857,2
S789000000004,505856,6
S15205720103,21769,1
S645053090228,386298,1
S18200149818,30857,1
S811973013276,523129,9
S74806184707,243496,12
S805103000076,517767,5
S15205720103,21769,1
S890536002377,581870,2
S15205720103,21769,5
S18200149818,30857,2
S15205720103,21769,1
S305363112019,337256,2
S41000006029,119868,6
S645053090228,386298,1
S18200149818,30857,2
S805103000076,517767,2
S811973013276,523129,4
S834532004737,538291,14
S890536002377,581870,5
S645053090228,386298,1
S841380059673,544277,11
S834532004737,538291,8
S18200149818,30857,3
S31700044605,85974,1
S15205720103,21769,1
S834532004737,538291,2
S305363112019,337256,2
S18200149818,30857,2
R41000006029,74806184707,87189
R15205720103,789000000004,175483
S15205720103,21769,1
S18200149818,30857,1
R18200149818,890536002377,305758
S841380059673,544277,25
R31700044605,74027081052,72075
S74806184707,243496,7
S74806184707,243496,1
R789000000004,852263901057,153876
S305363112019,337256,2
S615199100303,371342,1
S41250112532,127495,11
S31700044605,85974,9
S852263901057,554918,4
S18200149818,30857,2
S841380059673,544277,16
15205720103,18200149818,74806184707,615199100303,645053090228,735037560110,805103000076,811973013276,852263901057,
